business_id,name,city,state,latitude,longitude,postal_code
x_Bipuc1nuQDXxyZC2ih8Q,IceBurg,Saint Petersburg,FL,27.7715028,-82.6395239,33701
TvbJq1a1Xto5w6t4zMUYHQ,Vessel NOLA,New Orleans,LA,29.9741715,-90.0974329,70119
TsoCCouCudxL2mwn86SFiQ,Arctic Scoop,Philadelphia,PA,39.927457,-75.166521,19148
oGDGlUbOjHxmmCh8ZYcDCg,The Lark,Santa Barbara,CA,34.4148777,-119.690279,93101
qOrd_jWT3e16_wwRSpvYwQ,Roy's Restaurant,Tampa,FL,27.96159919,-82.51687288,33607
1QJD4wh6gdlO6I1h0_FiZg,Levee Baking Co.,New Orleans,LA,29.9237454,-90.0861755,70115
U_Sw9VC6mCyTbUo2mejS0A,Royal Boba,Nashville,TN,36.1431258856,-86.8581593239,37209
t07Pof3RG7i-4DdZ5pYdaQ,CoreLife Eatery,Indianapolis,IN,39.9060987371,-86.0939471329,46250
f88R41qxHK65RkDjn3TehA,I CE NY,Philadelphia,PA,39.955391325,-75.1566101418,19107
ETZK5PuCsVfQ7ElXckDTPw,Ban Ban Asian Bistro,Abington,PA,40.1270790528,-75.1167098433,19001
E8CBQWDoCK3WujyMFfVG2A,Chop Steakhouse & Bar,Edmonton,AB,53.5449339,-113.4931031,T5J 3E9
jkGQQ4_LgJx3hwPtCFkzbQ,Max Brenner - Philadelphia,Philadelphia,PA,39.9491000076,-75.1661748827,19102
iCCSlTTZTzhpmhBO79CoYA,Shake Shack,King of Prussia,PA,40.090194,-75.395468,19406
G_bi7l0nU74I4Vr1V7IcMg,TeaStori,Tampa,FL,28.0557460623,-82.429274,33612
H0unmI-lJTazbPh-Lt6lBQ,Token Ramen & Kung Fu Tea,Tampa,FL,27.9410598644,-82.5060900673,33609
